;Africa Eme.;Africa Front.;Asia Des.;Asia Eme.;Asia Front.;Chile;Europa Des.;Europa Eme.;Europa Front.;Latam Eme.;Latam Front.;M. Oriente Eme.;M. Oriente Front.;N/A;Norteamerica;OceanÃ­a;apac_(ex_japan)_fi;australia_&_new_zealand;azerbaijan;cash/equiv;cash_&_forwards;emerging_market_fi;europe_eq;europe_fi;faroe_islands;honduras;mexice;middle_east_&_africa;north_america_fi;otros;peopleã¢â¬â¢s_republic_of_china;technology;tãâ¼rkiye;uzbekistan;world
2519.T;0,0;0,0;0,0;9,2;0,0;0,0;0,0;6,3;0,0;7,6;7,8;7,3;0,0;0,0;61,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2B7A.DE;0,0;0,0;0,0;0,0;0,0;0,0;0,02;0,0;0,0;0,0;0,0;0,0;0,0;0,0;99,94;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,04;0,0;0,0;0,0;0,0;0,0
2B7B.DE;0,0;0,0;0,0;0,0;0,0;0,0;25,270000000000003;0,0;0,0;0,0;0,0;0,0;0,0;0,0;74,64;0,01;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,08;0,0;0,0;0,0;0,0;0,0
3067.HK;0,0;0,0;0,0;99,51;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,49;0,0;0,0;0,0;0,0;0,0
AAXJ.O;0,0;0,0;28,66;69,24000000000001;0,0;0,0;1,07;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,03;0,0;0,0;0,0;0,0;0,0
AAXJSI.S;0,0;0,0;31,11;67,99;0,0;0,0;0,48;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,42;0,0;0,0;0,0;0,0;0,0
ACWD.L;0,0;0,0;4,93;6,299999999999999;0,0;0,0;9,96;0,0;0,0;0,0;0,0;0,0;0,0;0,0;66,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;12,61;0,0;0,0;0,0;0,0;0,0
ACWI.O;0,0;0,0;4,92;6,34;0,0;0,0;9,79;0,0;0,0;0,0;0,0;0,0;0,0;0,0;65,88;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;13,07;0,0;0,0;0,0;0,0;0,0
ACWIU.S;0,0;0,0;0,0;0,0;0,0;0,0;36,160000000000004;0,0;0,0;0,0;0,47;0,0;0,0;0,0;61,55;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,82;0,0;0,0;0,0;0,0;0,0
ACWV.K;0,0;0,0;11,21;15,309999999999999;0,0;0,0;4,359999999999999;0,0;0,0;0,0;0,0;1,1;0,0;0,0;58,65;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;9,37;0,0;0,0;0,0;0,0;0,0
